SETOR ECONÔMICO,SUBSETOR,SEGMENTO,NOME_B3,LISTAGEM_DOC,LISTAGEM_SEGMENTO,GF_codigo
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,MOSAICO,MOSI,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,NEOGRID,NGRD,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,QUALITY SOFT,QUSW,MA,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,SINQIA,SQIA,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,TC,TRAD,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,TOTVS       ,TOTS,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,WDC NETWORKS,LVTC,NM             ,
Tecnologia da Informação,Programas e Serviços,Programas e Serviços,WESTWING,WEST,NM             ,
Comunicações,Telecomunicações,Telecomunicações,ALGAR TELEC,ALGT,,
Comunicações,Telecomunicações,Telecomunicações,BRISANET,BRIT,NM             ,
Comunicações,Telecomunicações,Telecomunicações,DESKTOP,DESK,NM             ,
Comunicações,Telecomunicações,Telecomunicações,OI,OIBR,N1,
Comunicações,Telecomunicações,Telecomunicações,TELEBRAS    ,TELB,,
Comunicações,Telecomunicações,Telecomunicações,TELEF BRASIL,VIVT,,
Comunicações,Telecomunicações,Telecomunicações,TIM,TIMS,NM             ,
Comunicações,Telecomunicações,Telecomunicações,UNIFIQUE,FIQE,NM             ,
Comunicações,Mídia,Produção e Difusão de Filmes e Programas,CINESYSTEM,CNSY,MA,
Comunicações,Mídia,Publicidade e Propaganda,ELETROMIDIA,ELMD,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,AES BRASIL,AESB,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,AES SUL     ,AESL,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,AFLUENTE T  ,AFLT,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ALUPAR,ALUP,N2             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,AMPLA ENERG ,CBEE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CACHOEIRA,CPTE,MB             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CEB         ,CEBR,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CEEE-D      ,CEED,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CEEE-GT     ,EEEL,N1             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CELESC      ,CLSC,N2             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CELGPAR     ,GPAR,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CELPE       ,CEPE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CEMIG       ,CMIG,N1             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CEMIG DIST  ,CMGD,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CEMIG GT    ,CMGT,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CESP        ,CESP,N1             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,COELBA      ,CEEB,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,COELCE      ,COCE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,COPEL       ,CPLE,N1             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,COSERN      ,CSRN,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CPFL ENERGIA,CPFE,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CPFL GERACAO,CPFG,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CPFL PIRATIN,CPFP,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,CPFL RENOVAV,CPRE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,EBE         ,EBEN,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ELEKTRO     ,EKTR,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ELETROBRAS  ,ELET,N1             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ELETROPAR   ,LIPR,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,EMAE        ,EMAE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERGIAS BR ,ENBR,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERGISA    ,ENGI,N2             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERGISA MT,ENMT,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENERSUL     ,ENER,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENEVA,ENEV,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ENGIE BRASIL,EGIE,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQTL PARA,EQPA,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQTLMARANHAO,EQMA,MB             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,EQUATORIAL  ,EQTL,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ESCELSA     ,ESCE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,FGENERGIA,FGEN,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,FOCUS ON,POWE,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,GER PARANAP ,GEPA,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,ITAPEBI     ,ITPB,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIGHT       ,LIGH,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,LIGHT S/A   ,LIGT,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,NEOENERGIA  ,NEOE,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,OMEGA GER,OMGE,NM             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,PAUL F LUZ  ,PALF,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,PROMAN      ,PRMN,MB             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,REDE ENERGIA,REDE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,RENOVA      ,RNEW,N2             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,STATKRAFT,STKF,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,STO ANTONIO,STEN,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,TAESA       ,TAEE,N2             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,TERMOPE     ,TMPE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,TERM. PE III,TEPE,,
Utilidade Pública,Energia Elétrica,Energia Elétrica,TRAN PAULIST,TRPL,N1             ,
Utilidade Pública,Energia Elétrica,Energia Elétrica,UPTICK      ,UPKP,MB             ,
Utilidade Pública,Água e Saneamento,Água e Saneamento,AMBIPAR,AMBP,NM             ,
Utilidade Pública,Água e Saneamento,Água e Saneamento,CASAN       ,CASN,,
Utilidade Pública,Água e Saneamento,Água e Saneamento,COPASA      ,CSMG,NM             ,
Utilidade Pública,Água e Saneamento,Água e Saneamento,IGUA SA  ,IGSN,MA,
Utilidade Pública,Água e Saneamento,Água e Saneamento,ORIZON,ORVR,NM             ,
Utilidade Pública,Água e Saneamento,Água e Saneamento,SABESP      ,SBSP,NM             ,
Utilidade Pública,Água e Saneamento,Água e Saneamento,SANEPAR     ,SAPR,N2             ,
Utilidade Pública,Água e Saneamento,Água e Saneamento,SANESALTO   ,SNST,,
Utilidade Pública,Gás,Gás,CEG         ,CEGR,,
Utilidade Pública,Gás,Gás,COMGAS      ,CGAS,,
Utilidade Pública,Gás,Gás,COMPASS,PASS,,
Financeiro,Intermediários Financeiros,Bancos,ABC BRASIL  ,ABCB,N2             ,
Financeiro,Intermediários Financeiros,Bancos,ALFA HOLDING,RPAD,,
Financeiro,Intermediários Financeiros,Bancos,ALFA INVEST ,BRIV,,
Financeiro,Intermediários Financeiros,Bancos,AMAZONIA    ,BAZA,,
Financeiro,Intermediários Financeiros,Bancos,BANCO BMG,BMGB,N1             ,
Financeiro,Intermediários Financeiros,Bancos,BANCO INTER,BIDI,N2             ,
Financeiro,Intermediários Financeiros,Bancos,BANCO PAN,BPAN,N1             ,
Financeiro,Intermediários Financeiros,Bancos,BANESE      ,BGIP,,
Financeiro,Intermediários Financeiros,Bancos,BANESTES    ,BEES,,
Financeiro,Intermediários Financeiros,Bancos,BANPARA     ,BPAR,,
Financeiro,Intermediários Financeiros,Bancos,BANRISUL    ,BRSR,N1             ,
Financeiro,Intermediários Financeiros,Bancos,BR PARTNERS,BRBI,N2             ,
Financeiro,Intermediários Financeiros,Bancos,BRADESCO    ,BBDC,N1             ,
Financeiro,Intermediários Financeiros,Bancos,BRASIL      ,BBAS,NM             ,
Financeiro,Intermediários Financeiros,Bancos,BRB BANCO   ,BSLI,,
Financeiro,Intermediários Financeiros,Bancos,BTGP BANCO,BPAC,,
Financeiro,Intermediários Financeiros,Bancos,ITAUSA      ,ITSA,N1             ,
Financeiro,Intermediários Financeiros,Bancos,ITAUUNIBANCO,ITUB,N1             ,
Financeiro,Intermediários Financeiros,Bancos,MERC BRASIL ,BMEB,,
Financeiro,Intermediários Financeiros,Bancos,MERC INVEST ,BMIN,,
Financeiro,Intermediários Financeiros,Bancos,MODALMAIS,MODL,N2             ,
Financeiro,Intermediários Financeiros,Bancos,NORD BRASIL ,BNBR,,
Financeiro,Intermediários Financeiros,Bancos,PARANA      ,PRBC,,
Financeiro,Intermediários Financeiros,Bancos,PINE        ,PINE,N2             ,
Financeiro,Intermediários Financeiros,Bancos,SANTANDER BR,SANB,,
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,ALFA FINANC ,CRIV,,
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,FINANSINOS  ,FNCN,,
Financeiro,Intermediários Financeiros,Soc. Crédito e Financiamento,MERC FINANC ,MERC,,
Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,BRADESCO LSG,BDLS,,
Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,DIBENS LSG  ,DBEN,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,BRAZIL REALT,BZRS,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,BRAZILIAN SC,BSCS,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,BRPR 56 SEC,WTVR,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,CIBRASEC,CBSC,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,ECO SEC AGRO,ECOA,MB             ,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,GAIA AGRO   ,GAFL,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,GAIA SECURIT,GAIA,MB             ,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,OCTANTE SEC,OCTS,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,PDG SECURIT ,PDGS,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,POLO CAP SEC,PLSC,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,RBCAPITALRES,RBRA,MB             ,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,TRUESEC,APCS,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,VERTCIASEC,VERT,,
Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,WTORRE PIC  ,WTPI,,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,BNDESPAR    ,BNDP,MB             ,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,BRAZILIAN FR,BFRE,,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,CLEARSALE,CLSA,NM             ,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,G2D INVEST,G2DI,,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,GP INVEST   ,GPIV,DR3,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,PADTEC,PDTC,NM             ,
Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,PPLA,PPLA,DR3,
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,B3 ,B3SA,NM             ,
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,BOA VISTA,BOAS,NM             ,
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,CIELO       ,CIEL,NM             ,
Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,CSU CARDSYST,CARD,NM             ,
Financeiro,Previdência e Seguros,Seguradoras,ALFA CONSORC,BRGE,,
Financeiro,Previdência e Seguros,Seguradoras,BBSEGURIDADE,BBSE,NM             ,
Financeiro,Previdência e Seguros,Seguradoras,CAIXA SEGURI,CXSE,NM             ,
Financeiro,Previdência e Seguros,Seguradoras,PORTO SEGURO,PSSA,NM             ,
Financeiro,Previdência e Seguros,Seguradoras,SEG AL BAHIA,CSAB,,
Financeiro,Previdência e Seguros,Seguradoras,SUL AMERICA ,SULA,N2             ,
Financeiro,Previdência e Seguros,Resseguradoras,IRBBRASIL RE,IRBR,NM             ,
Financeiro,Previdência e Seguros,Corretoras de Seguros e Resseguros,ALPER S.A.,APER,NM             ,
Financeiro,Previdência e Seguros,Corretoras de Seguros e Resseguros,WIZ S.A.,WIZS,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,ALIANSCSONAE,ALSO,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,BR MALLS PAR,BRML,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,BR PROPERT  ,BRPR,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,COR RIBEIRO ,CORR,,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,CYRE COM-CCP,CCPR,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,GENERALSHOPP,GSHP,,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,HABITASUL   ,HBTS,,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,HBR REALTY,HBRE,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGB S/A     ,IGBR,,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,IGUATEMI    ,IGTA,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,JEREISSATI  ,JPSA,,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,LOG COM PROP,LOGG,NM             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,MENEZES CORT,MNZC,MB             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,MULTIPLAN   ,MULT,N2             ,
Financeiro,Exploração de Imóveis,Exploração de Imóveis,SAO CARLOS  ,SCAR,NM             ,
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,BR BROKERS  ,BBRK,NM             ,
Financeiro,Exploração de Imóveis,Intermediação Imobiliária,LOPES BRASIL,LPSB,NM             ,
Financeiro,Holdings Diversificadas,Holdings Diversificadas,MONT ARANHA ,MOAR,,
Financeiro,Holdings Diversificadas,Holdings Diversificadas,PAR AL BAHIA,PEAB,,
Financeiro,Holdings Diversificadas,Holdings Diversificadas,SIMPAR,SIMH,NM             ,
Financeiro,Outros Títulos,Outros Títulos,CEPAC - CTBA,CTBA,MB             ,
Financeiro,Outros Títulos,Outros Títulos,CEPAC - MCRJ,MCRJ,MB             ,
Financeiro,Outros Títulos,Outros Títulos,CEPAC - PMSP,PMSP,MB             ,
Outros,Outros,Outros,524 PARTICIP,QVQP,MB             ,
Outros,Outros,Outros,ATOMPAR,ATOM,,
Outros,Outros,Outros,B TECH EQI,BLUT,,
Outros,Outros,Outros,BETAPART    ,BETP,MB             ,
Outros,Outros,Outros,CABINDA PART,CABI,MB             ,
Outros,Outros,Outros,CACONDE PART,CACO,MB             ,
Outros,Outros,Outros,CEMEPE      ,MAPT,,
Outros,Outros,Outros,CIMS        ,CMSA,,
Outros,Outros,Outros,GAMA PART   ,OPGM,MB             ,
Outros,Outros,Outros,INVEST BEMGE,FIGE,,
Outros,Outros,Outros,MGI PARTICIP,MGIP,,
Outros,Outros,Outros,OPPORT ENERG,OPHE,MB             ,
Outros,Outros,Outros,POLPAR      ,PPAR,,
Outros,Outros,Outros,PROMPT PART ,PRPT,MB             ,
Outros,Outros,Outros,SUDESTE S/A ,OPSE,MB             ,
Outros,Outros,Outros,SUL 116 PART,OPTS,MB             ,
Outros,Outros,Outros,YBYRA S/A,YBRA,MB             ,
